Name,Hardness,Elemental Affinity,Quality,Description,Crafting Bonus
OreOre,876,"Force, Necrotic",Uncommon,"A distinctive metal favored by artisans, it has dark veins pulsing through its surface, andfeels unnaturally dense and hums faintly on touch.",Drains vitality or weakens enemies; Grants resistance to kinetic impact
EchoSteel,1317,Force,Uncommon,"A distinctive metal favored by artisans, it feels unnaturally dense and hums faintly on touch.",Grants resistance to kinetic impact
BlueIron,1446,Radiant,Uncommon,"A distinctive metal favored by artisans, it glows softly with a golden-white aura.",Effective against undead or demonic foes
BitterOre,1127,"Water, Air",Very Rare,"An exceptional and coveted metal used by master crafters, it feels slick to the touch and glistens like dew, andhas a silvery sheen that seems to blur at the edges.",Reduces weight of equipment; Improves fluidity or regeneration
RockOre,355,"Arcane, Air",Uncommon,"A distinctive metal favored by artisans, it has a silvery sheen that seems to blur at the edges, andis etched with shifting, glowing runes.",Reduces weight of equipment; Boosts magical enchantments
AshenIron,492,Shadow,Common,"A sturdy but unremarkable metal, it absorbs light, casting a dim aura around it.",Improves stealth or concealment
OreGlass,332,"Holy, Force",Common,"A sturdy but unremarkable metal, it glows softly with a golden-white aura, andfeels unnaturally dense and hums faintly on touch.",Effective against undead or demonic foes; Grants resistance to kinetic impact
GloomFerrite,382,Lightning,Rare,"A prized metal sought for its unique properties, it crackles faintly with static energy.",Improves speed or reaction time
EchoAlloy,1293,Necrotic,Uncommon,"A distinctive metal favored by artisans, it has dark veins pulsing through its surface.",Drains vitality or weakens enemies
MistFerrite,175,"Nature, Earth",Very Rare,"An exceptional and coveted metal used by master crafters, it appears dense and grainy with a stone-like luster, andhas mossy green flecks that pulse with vitality.",Increases durability and defense; Improves healing or synergy with living things
GreenSteel,138,Arcane,Very Rare,"An exceptional and coveted metal used by master crafters, it is etched with shifting, glowing runes.",Boosts magical enchantments
GreenIron,742,Radiant,Uncommon,"A distinctive metal favored by artisans, it glows softly with a golden-white aura.",Effective against undead or demonic foes
FlameOre,385,Poison,Very Rare,"An exceptional and coveted metal used by master crafters, it exudes a faint, oily sheen with a sickly tint.",Applies toxin effects to weapons
GraveGlass,200,Poison,Rare,"A prized metal sought for its unique properties, it exudes a faint, oily sheen with a sickly tint.",Applies toxin effects to weapons
RockMetal,953,Necrotic,Very Rare,"An exceptional and coveted metal used by master crafters, it has dark veins pulsing through its surface.",Drains vitality or weakens enemies
BlueBronze,150,Nature,Uncommon,"A distinctive metal favored by artisans, it has mossy green flecks that pulse with vitality.",Improves healing or synergy with living things
BloodCrystal,265,Magnetic,Common,"A sturdy but unremarkable metal, it pulls gently toward metal and tingles when held.",Affects mechanical or metallic constructs
NightSteel,502,Holy,Rare,"A prized metal sought for its unique properties, it glows softly with a golden-white aura.",Effective against undead or demonic foes
SkyBronze,1082,"Psychic, Fire",Uncommon,"A distinctive metal favored by artisans, it shimmers with a faint ember glow, andhas a smooth, mirrored surface that distorts reflection.",Adds burn damage to weapons; Enhances mental control or perception
VerdantGlass,304,Necrotic,Uncommon,"A distinctive metal favored by artisans, it has dark veins pulsing through its surface.",Drains vitality or weakens enemies
NightGlass,814,"Lightning, Nature",Rare,"A prized metal sought for its unique properties, it crackles faintly with static energy, andhas mossy green flecks that pulse with vitality.",Improves speed or reaction time; Improves healing or synergy with living things
GreenMetal,185,Fire,Common,"A sturdy but unremarkable metal, it shimmers with a faint ember glow.",Adds burn damage to weapons
FrostGlass,905,Psychic,Rare,"A prized metal sought for its unique properties, it has a smooth, mirrored surface that distorts reflection.",Enhances mental control or perception
BitterSteel,1029,"Earth, Poison",Very Rare,"An exceptional and coveted metal used by master crafters, it appears dense and grainy with a stone-like luster, andexudes a faint, oily sheen with a sickly tint.",Increases durability and defense; Applies toxin effects to weapons
GreenFerrite,509,"Force, Fire",Uncommon,"A distinctive metal favored by artisans, it shimmers with a faint ember glow, andfeels unnaturally dense and hums faintly on touch.",Adds burn damage to weapons; Grants resistance to kinetic impact
MistMetal,801,"Fire, Air",Rare,"A prized metal sought for its unique properties, it shimmers with a faint ember glow, andhas a silvery sheen that seems to blur at the edges.",Adds burn damage to weapons; Reduces weight of equipment
StormGlass,1070,Fire,Common,"A sturdy but unremarkable metal, it shimmers with a faint ember glow.",Adds burn damage to weapons
VoidIron,341,"Water, Radiant",Rare,"A prized metal sought for its unique properties, it feels slick to the touch and glistens like dew, andglows softly with a golden-white aura.",Improves fluidity or regeneration; Effective against undead or demonic foes
StormOre,333,"Necrotic, Arcane",Uncommon,"A distinctive metal favored by artisans, it has dark veins pulsing through its surface, andis etched with shifting, glowing runes.",Drains vitality or weakens enemies; Boosts magical enchantments
CoalCrystal,426,Psychic,Very Rare,"An exceptional and coveted metal used by master crafters, it has a smooth, mirrored surface that distorts reflection.",Enhances mental control or perception
SteelGlass,1443,Fire,Uncommon,"A distinctive metal favored by artisans, it shimmers with a faint ember glow.",Adds burn damage to weapons
IronShard,764,Poison,Uncommon,"A distinctive metal favored by artisans, it exudes a faint, oily sheen with a sickly tint.",Applies toxin effects to weapons
BlueFerrite,507,"Arcane, Force",Uncommon,"A distinctive metal favored by artisans, it is etched with shifting, glowing runes, andfeels unnaturally dense and hums faintly on touch.",Boosts magical enchantments; Grants resistance to kinetic impact
GraveSteel,868,Force,Very Rare,"An exceptional and coveted metal used by master crafters, it feels unnaturally dense and hums faintly on touch.",Grants resistance to kinetic impact
GraveMetal,847,Air,Common,"A sturdy but unremarkable metal, it has a silvery sheen that seems to blur at the edges.",Reduces weight of equipment
GhostMetal,1202,"Shadow, Lightning",Common,"A sturdy but unremarkable metal, it crackles faintly with static energy, andabsorbs light, casting a dim aura around it.",Improves speed or reaction time; Improves stealth or concealment
BloodIron,1051,Water,Uncommon,"A distinctive metal favored by artisans, it feels slick to the touch and glistens like dew.",Improves fluidity or regeneration
CoalSteel,179,Radiant,Very Rare,"An exceptional and coveted metal used by master crafters, it glows softly with a golden-white aura.",Effective against undead or demonic foes
DuskweldGlass,484,Air,Uncommon,"A distinctive metal favored by artisans, it has a silvery sheen that seems to blur at the edges.",Reduces weight of equipment
EchoBronze,101,"Water, Arcane",Rare,"A prized metal sought for its unique properties, it feels slick to the touch and glistens like dew, andis etched with shifting, glowing runes.",Improves fluidity or regeneration; Boosts magical enchantments
OreCrystal,1033,Holy,Common,"A sturdy but unremarkable metal, it glows softly with a golden-white aura.",Effective against undead or demonic foes
VoidBronze,588,Radiant,Rare,"A prized metal sought for its unique properties, it glows softly with a golden-white aura.",Effective against undead or demonic foes
StormMetal,108,"Lightning, Necrotic",Rare,"A prized metal sought for its unique properties, it crackles faintly with static energy, andhas dark veins pulsing through its surface.",Improves speed or reaction time; Drains vitality or weakens enemies
